CameraLabel, X, Y, Z, Roll, Pitch, Yaw, RotX, RotY, RotZ
uhi_20210122_111150_1_00040,2780608.4100182666,539461.5486650685,5695519.751114675,-3.079022561902247,3.8205558142771596,146.21158291825512,161.72074510899404,11.337110550009331,-47.063226094868455
uhi_20210122_111150_1_00041,2780608.4584402605,539461.600077321,5695519.733838624,-3.0933062275745953,3.829465600019032,146.0872102758869,161.76023624946146,11.37010059182565,-46.94175183846312
uhi_20210122_111150_1_00042,2780608.5061119637,539461.6522797741,5695519.716552305,-3.1177625551531634,3.8121890760575674,145.96481564590772,161.77412110798318,11.393065244544514,-46.817497748534755
uhi_20210122_111150_1_00043,2780608.5528294593,539461.7043851871,5695519.697575928,-3.079862127685251,3.748291499527671,145.87686915485102,161.7297800247411,11.463086955655669,-46.743207043540636
uhi_20210122_111150_1_00044,2780608.5991595937,539461.7576257475,5695519.679542859,-3.026942545416819,3.7475581292408306,145.85315120237505,161.7314066348825,11.522232563364225,-46.73769180655228
uhi_20210122_111150_1_00045,2780608.6471857377,539461.8126119424,5695519.6611133935,-2.9270843147098984,3.747625036382308,145.8363626908105,161.7291146939957,11.623342964110165,-46.753783425881224
uhi_20210122_111150_1_00046,2780608.6968575157,539461.86929572,5695519.642025303,-2.855344372300604,3.7380295960634164,145.79481110085595,161.72501602737796,11.707176922895941,-46.73699839266887
uhi_20210122_111150_1_00047,2780608.7484613126,539461.92653469,5695519.623286522,-2.8126685956905577,3.813221248171105,145.7628697437547,161.80432685647315,11.758505358065,-46.724035625510496
uhi_20210122_111150_1_00048,2780608.802350793,539461.9835867878,5695519.60453682,-2.778293732915849,3.8083965120013272,145.74629425015655,161.80132266658615,11.797440128051443,-46.719093114434585
uhi_20210122_111150_1_00049,2780608.8560775947,539462.0401673418,5695519.587936967,-2.8204667686156566,3.929369805113687,145.7666647551131,161.91879354623705,11.747897728746524,-46.730683566552514
uhi_20210122_111150_1_00050,2780608.9110508915,539462.0974002676,5695519.573468465,-2.864977785924869,3.998926863231479,145.7818038183421,161.9867874713929,11.698839980154487,-46.734265782694514
uhi_20210122_111150_1_00051,2780608.9661533046,539462.1545733158,5695519.560543523,-2.8853291908291863,4.004113741331837,145.81478418535903,161.98525305288237,11.667055899633374,-46.7592729509881
uhi_20210122_111150_1_00052,2780609.0215683747,539462.2119258208,5695519.548538241,-2.86151387366293,3.985886845907751,145.84375777292567,161.9587144077495,11.679131851120768,-46.79330243004812
uhi_20210122_111150_1_00053,2780609.0775140296,539462.2700694052,5695519.538336165,-2.8083420405202024,4.029642465840285,145.89044211173007,161.98733368389327,11.711527252563144,-46.85634320005612
uhi_20210122_111150_1_00054,2780609.135465078,539462.3298455006,5695519.527659721,-2.7090822826495518,3.9174009152036016,145.97827406355256,161.84876599071012,11.774612165180706,-46.96560977601714
uhi_20210122_111150_1_00055,2780609.1964079994,539462.3908927928,5695519.5197758395,-2.600208517700182,3.827360458331781,146.08829300901945,161.72616689003607,11.83800729384741,-47.10036061461646
uhi_20210122_111150_1_00056,2780609.258727484,539462.4522658071,5695519.515747716,-2.538077684550376,3.8103008507824314,146.18021555132643,161.68322187962713,11.86266228499596,-47.206471809896854
uhi_20210122_111150_1_00057,2780609.3248183923,539462.5150688039,5695519.513924779,-2.4965498077488726,3.8011926638299016,146.28292661403407,161.64699146603314,11.863529346597929,-47.31654916709339
uhi_20210122_111150_1_00058,2780609.390740977,539462.5770061751,5695519.514134939,-2.528049509302492,3.929334737883518,146.3984841423904,161.74852530495676,11.788292689885866,-47.42111968015248
uhi_20210122_111150_1_00059,2780609.4585298724,539462.6385952211,5695519.514689831,-2.5265527936570664,3.957670787334333,146.49910676832673,161.7526685138275,11.751345940621396,-47.517884174366486
uhi_20210122_111150_1_00060,2780609.5235591186,539462.7000553485,5695519.51684578,-2.5890722163048028,3.9883783463018263,146.58363086391918,161.76717037457408,11.659611036627371,-47.579059855788586
uhi_20210122_111150_1_00061,2780609.585838267,539462.7591686184,5695519.520853278,-2.631105672967237,4.100963070815601,146.67401077193784,161.86004053384988,11.583912051987976,-47.65596014186359
uhi_20210122_111150_1_00062,2780609.648705755,539462.8184063566,5695519.525661161,-2.624965753754874,4.180291311361978,146.80913189192356,161.90645490775452,11.537481349629378,-47.78894215038908
uhi_20210122_111150_1_00063,2780609.7153545683,539462.8781024734,5695519.533038125,-2.513398651285513,4.280220429465101,146.9618409610092,161.9626352765953,11.584271330595286,-47.97267137401394
uhi_20210122_111150_1_00064,2780609.7750332244,539462.9363774,5695519.5482112,-2.5744033206946906,4.729638885260913,147.12997089070817,162.37244363692147,11.456240801680504,-48.13153489565094
uhi_20210122_111150_1_00065,2780609.854143101,539463.0040550929,5695519.554970092,-2.3751846929968563,4.3992867569889675,147.3457363180733,161.9828635568781,11.568149852603357,-48.383305989212325
uhi_20210122_111150_1_00066,2780609.9254758945,539463.067339004,5695519.568122381,-2.3394333548412334,4.435341592335464,147.552278135925,161.9689061143446,11.522896999948667,-48.590708735528395
uhi_20210122_111150_1_00067,2780609.9981324174,539463.1291721942,5695519.580691156,-2.2908098359034357,4.405582364142893,147.77143740270898,161.8863286065164,11.485706822712734,-48.81140040196211
uhi_20210122_111150_1_00068,2780610.0738429865,539463.1951346451,5695519.589918253,-2.297606180047724,4.123881540227722,147.99004515312217,161.55789188473636,11.399037340168631,-49.00412982065134
uhi_20210122_111150_1_00069,2780610.144669289,539463.2597525589,5695519.60128465,-2.4052746594464547,3.98052361163905,148.19400900682658,161.37663471001983,11.220543799259701,-49.155427849677714
uhi_20210122_111150_1_00070,2780610.2165385233,539463.3194592799,5695519.614249981,-2.376255938810463,3.9986476903184776,148.40555337939003,161.34535729553804,11.166464848017101,-49.36447998885655
uhi_20210122_111150_1_00071,2780610.2868801556,539463.3754766666,5695519.626899377,-2.285264311549184,4.072953490164517,148.56872934307071,161.37694298541402,11.188857626837724,-49.55038652574595
uhi_20210122_111150_1_00072,2780610.3547149827,539463.4364680402,5695519.6383330645,-2.3167319310500907,4.031657647983836,148.7523155813728,161.29730340319256,11.088730781618388,-49.71097707728818
uhi_20210122_111150_1_00073,2780610.4286521235,539463.4953891814,5695519.646404418,-2.1487722904208475,4.0313638290072005,148.9600811029546,161.2406720883913,11.167462078409306,-49.961038215261354
